Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,title,videoId,viewCount
Migos Featuring Drake,16,FALSE,14,10,12,Walk It Talk It,10,UCF5D9qC1TAQnFWa4oHuBZcA,Migos - Topic,12671,59218,0,483268,Walk It Talk It,bV4bSXUgFVo,68540430
Lil Dicky Featuring Chris Brown,9,FALSE,11,8,13,Freaky Friday,10,UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,235053,251656,0,3776620,Lil Dicky  - Freaky Friday feat. Chris Brown (Official Music Video),aZla1ttZHaw,456204738
Imagine Dragons,16,FALSE,12,12,14,Whatever It Takes,10,UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO,94422,96216,0,3308809,Imagine Dragons - Whatever It Takes (Official Music Video),gOsM-DYAEhY,513252969
Kane Brown,21,FALSE,20,15,15,Heaven,10,UCsEj8E122ibbJetQe8BoV7g,KaneBrownVEVO,34833,62412,0,960859,Kane Brown - Heaven (Official Music Video),dRX0wDNK6S4,227392400
Marshmello & Anne-Marie,14,FALSE,21,16,16,Friends,10,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,219308,134880,0,4609859,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,CY8E6N5Nzec,460720783
Bazzi,17,FALSE,15,11,17,Mine,10,UC1iqebKNH36JIdBIjEy8-iQ,Pixl Networks,14300,13229,0,418669,Bazzi – Mine (Lyrics) 🎵,QeUFmGLhI_s,71122767
The Weeknd & Kendrick Lamar,15,FALSE,22,7,18,Pray For Me,10,UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,40569,37697,0,1163233,"The Weeknd, Kendrick Lamar - Pray For Me (Lyric Video)",XR7Ev14vUh8,131142060
Post Malone Featuring 21 Savage,35,FALSE,13,1,19,Rockstar,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,295212,205473,0,6065951,Post Malone - rockstar ft. 21 Savage,UceaB4D0jpo,461841696
Shawn Mendes,9,FALSE,27,20,20,In My Blood,10,UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO,102990,48430,0,2436908,Shawn Mendes - In My Blood,36tggrpRoTI,234313608
"Cardi B, Bad Bunny & J Balvin",6,FALSE,18,8,21,I Like It,10,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,258289,376599,0,5689855,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",xTlNMmZKwpA,785832496
Rich The Kid,14,FALSE,26,13,22,Plug Walk,10,UCtIRTYF5sClodKfeNtA1jCA,RichTheKidVEVO,50416,71550,0,1396417,Rich The Kid - Plug Walk,ToY6sjSV8h8,191964370
Cardi B,7,FALSE,25,11,23,Be Careful,10,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,68392,70292,0,1033277,Cardi B - Be Careful [Official Video],8zSRkr1nQNw,83083053
Camila Cabello Featuring Young Thug,40,FALSE,24,1,24,Havana,10,UCk0wwaFCIkxwSfi6gpRqQUw,CamilaCabelloVEVO,401025,393033,0,7540063,Camila Cabello - Havana (Official Audio) ft. Young Thug,HCjNJDNzw8Y,1455480223
Maroon 5,18,FALSE,30,25,25,Wait,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,32397,31527,0,1006401,Maroon 5 - Wait,4uTNVumfm84,115617385
Post Malone,3,FALSE,23,7,26,Better Now,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,30910,26200,0,1197774,Post Malone - Better Now,UYwF-jdcVjY,95473557
XXXTENTACION,11,FALSE,34,7,27,Sad!,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Dua Lipa,42,FALSE,32,6,28,New Rules,10,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,294776,431804,0,9034433,Dua Lipa - New Rules (Official Music Video),k2qgadSvNyU,1605026327
Nicki Minaj,6,FALSE,19,10,29,Chun-Li,10,UCaum3Yzdl3TbBt8YUeUGZLQ,NickiMinajAtVEVO,127416,133183,0,1397095,Nicki Minaj - Chun-Li,Wpm07-BGJnE,106488046
Bruno Mars & Cardi B,20,FALSE,31,3,30,Finesse,10,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,248851,263120,0,4193608,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],LsoLEjrDogU,531916527
Rae Sremmurd & Juicy J,11,FALSE,28,28,31,Powerglide,10,UCweazuUMMKdL2wwSyrxla9A,RaeSremmurdVEVO,35445,52600,0,950056,"Rae Sremmurd, Swae Lee, Slim Jxmmi - Powerglide ft. Juicy J",95Rzsn-zjr0,132736146
The Weeknd,7,FALSE,29,4,32,Call Out My Name,10,UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,89926,97182,0,2706283,The Weeknd - Call Out My Name (Official Video),M4ZoCHID9GI,410268775
Kendrick Lamar & SZA,19,FALSE,35,7,33,All The Stars,10,UCoYfzC2zMlc9M-Odgaf6OSg,KendrickLamarVEVO,83912,54834,0,1799213,"Kendrick Lamar, SZA - All The Stars",JQbjS0_ZfJ0,185395346
Jason Aldean,16,FALSE,33,28,34,You Make It Easy,10,UCy5QKpDQC-H3z82Bw6EVFfg,JasonAldeanVEVO,5970,27221,0,399714,Jason Aldean - You Make It Easy (Lyric Video),jLCHpZ6B1gU,105751244
Luke Combs,9,FALSE,44,35,35,One Number Away,10,UCwLK17rpMFUfktQEcMzSyWg,LukeCombsVEVO,5644,9809,0,216575,Luke Combs - One Number Away,Ct9BFr9XBaI,41076120
Taylor Swift,10,FALSE,46,36,36,Delicate,10,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,198564,195003,0,2953108,Taylor Swift - Delicate,tCXGJQYZ9JA,317668776
Offset & Metro Boomin,29,FALSE,37,13,37,Ric Flair Drip,10,UCJTWqqBgwNNzF3p-YwPApKA,21SavageVEVO,60750,67587,0,1518916,"21 Savage, Offset, Metro Boomin - Ric Flair Drip (Official Music Video)",LPTlvQ1Zet0,211578366
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",4,FALSE,41,38,38,Te Bote,10,UCsvSj8bT4xqQecl_5nh_cwQ,Flow La Movie,459801,696746,0,6796878,"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",9jI-z9QN6g8,1541519411
Calvin Harris & Dua Lipa,6,FALSE,49,39,39,One Kiss,10,UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,72760,137026,0,2708624,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",DkeiKbqa02g,459739834
Famous Dex,8,FALSE,48,28,40,Japan,10,UCdGP_MdTu-4nv8KPe-pr2uw,Famous Dex,37099,30882,0,830231,Famous Dex - Japan (Prod. JGramm) [Official Lyric Video],hTLrY2tJkcc,82848342
Nicky Jam x J Balvin,11,FALSE,42,41,41,X,10,UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,237837,489916,0,6831955,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,_I_D_8Z4sJE,1456430057
Travis Scott Featuring Lil Uzi Vert & Kanye West,2,FALSE,16,16,42,Watch,10,UClRx3MMyYUyqOxyEqA5F2nQ,TravisScottVEVO,17846,14976,0,323707,"Travis Scott - Watch (Official Audio) ft. Lil Uzi Vert, Kanye West",P3iLo_JI9oY,26097663
Daddy Yankee,15,FALSE,43,43,43,Dura,10,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,244571,520666,0,5667757,Daddy Yankee | Dura (Video Oficial),sGIm0-dQd8M,1227458346
Migos,21,FALSE,50,8,44,Stir Fry,10,UCF5D9qC1TAQnFWa4oHuBZcA,Migos - Topic,1347,14314,0,86002,Stir Fry,YfSpGiAQ51I,10125760
J. Cole,4,FALSE,52,10,45,KOD,10,UC0ajkOzj8xE3Gs3LHCE243A,J. Cole - Topic,2497,11423,0,127215,KOD,ciya_AQu25o,13029505
Playboi Carti Featuring Lil Uzi Vert,0,TRUE,0,46,46,Shoota,10,UC652oRUvX1onwrrZ8ADJRPw,Playboi Carti,11405,4026,0,160556,Playboi Carti - Shoota (Audio) ft. Lil Uzi Vert,j3EwWAMWM6Q,14866295
Khalid & Normani,13,FALSE,54,43,47,Love Lies,24,UC4XJeGGdXj0vA4CxDDJ8J_A,Cakes & Eclairs,1224,911,0,30567,"Khalid, Normani - Love Lies (Lyrics)",FGa067-f_LI,3206874
Dan + Shay,10,FALSE,55,48,48,Tequila,10,UCx8v-goujcpBVF7QKALgp3g,Dan And Shay,2375,8231,0,141973,Dan + Shay - Tequila (Icon Video),9j8afmT-bLM,36042370
Lil Baby & Drake,0,TRUE,0,49,49,Yes Indeed,10,UCTwct4oAsyuyGxOtva0FcUg,FutureHype,16703,31698,0,501727,Drake & Lil Baby - Yes Indeed (Lyrics),AbEHRrq7xwU,98858237
Selena Gomez,0,TRUE,0,50,50,Back To You,10,UCNNxfgVzt-V3jVuRtNU83_g,MarsMusic,5395,5876,0,180379,Selena Gomez - Back to you (Lyrics),GNGbmg_pVlQ,28536150
Post Malone Featuring Nicki Minaj,3,FALSE,40,16,51,Ball For Me,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
YoungBoy Never Broke Again,3,FALSE,47,47,52,Overdose,24,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,23617,37305,0,585432,YoungBoy Never Broke Again – Overdose (Official Video),YDQXzY11aS0,104672811
Charlie Puth Featuring Kehlani,2,FALSE,74,53,53,Done For Me,10,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,26805,18262,0,759514,Charlie Puth - Done For Me (feat. Kehlani) [Official Video],TdyllLZeviY,69006050
Post Malone,3,FALSE,38,11,54,Paranoid,10,UClVY6MdQxTZUaMDL-dLQDcw,Ty Dolla $ign,9153,12347,0,263570,Ty Dolla $ign - Paranoid ft. B.o.B [Official Music Video],cC2ZgCEaLWs,46767586
Post Malone,3,FALSE,39,14,55,Rich & Sad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Jay Rock, Kendrick Lamar, Future & James Blake",18,FALSE,60,21,56,King's Dead,10,UCl47iLmJUzbgP8XyR-kRCQA,JayRockVEVO,64126,51738,0,1169392,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead (Official Music Video)",VwAnsAUYnw4,99740877
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,4,FALSE,36,36,57,Dame Tu Cosita,10,UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,316690,1330036,0,4631833,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],FzG4uDgje3M,1008612676
