Song_title,Song_artist,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
One Kiss,Calvin Harris & Dua Lipa,10,UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,72760,137024,0,2708605,"['calvin harris', 'calvin harris one kiss', 'calvin harris dua lipa', 'calvin harris dua lipa one kiss', 'one kiss', 'calvin harris dua lipa one kiss graham norton', 'calvin harris radio 1', 'calvin harris dua lipa one kiss live', 'dua lipa one kiss live', 'calvin harris dua lipa one kiss lyrics', 'calvin harris one kiss lyrics', 'calvin harris one kiss live', 'calvin harris feels', 'calvin harris summer', 'calvin harris nuh ready', 'calvin harris slide', 'calvin', 'harris', 'you']","Calvin Harris, Dua Lipa - One Kiss (Official Video)",DkeiKbqa02g,459739834
Love Lies,Khalid & Normani,24,UC4XJeGGdXj0vA4CxDDJ8J_A,Cakes & Eclairs,1224,911,0,30564,"['pop', 'pop music', 'music', 'new song', 'lyrics', 'lyric video', 'new song 2018', 'new spotify', 'cassiopeia', 'cassiopeia lyrics', 'khalid', 'normani', 'love lies', 'love lies lyrics', 'love lies khalid lyrics', 'love lies normani lyrics', 'love lies khalid normani', 'khalid normani', 'khalid ft normani', 'normani khalid', 'love simon', 'khalid lyrics', 'normani lyrics', 'normani love lies', 'khalid love lies', 'love', 'lies', 'one']","Khalid, Normani - Love Lies (Lyrics)",FGa067-f_LI,3206857
Moonlight,XXXTENTACION,10,UCnAcxgRZ065f_eXK1o85c1w,XXXTENTACION - Topic,143749,62267,0,1322780,"['XXXTENTACION', 'エックスエックスエックステンタシオン', '?', 'Moonlight', 'ムーンライト']",Moonlight,ic9KOmxNrDc,159193393
Be Careful,Cardi B,10,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,68392,70292,0,1033268,"['Cardi B', 'Be Careful', 'Be Careful Video', 'Cardi B Be Careful', 'Cardi Be Careful', 'Cardi B Careful', 'Cardi B Be Careful Video', 'Cardi Careful Video', 'Cardi B Music Video', 'Cardi B New Video', 'Cardi B Videos', 'New Cardi B', 'Cardi B Leak', 'Cardi B Desert Video', 'Cardi B Desert', 'Invasion of Privacy', 'Cardi B Invasion of Privacy', 'Cardi B Pregnant', 'Cardi B Offset', 'Cardi B Rumors', 'Cardi B Drip', 'Cardi B I Like It', 'Cardi B album', 'SNL Cardi B', 'Cardi B Ghostwriter', 'Cardi B Kill Bill']",Cardi B - Be Careful [Official Video],8zSRkr1nQNw,83083053
Back To You,Selena Gomez,10,UCNNxfgVzt-V3jVuRtNU83_g,MarsMusic,5395,5876,0,180375,"['Selena gomez', '13 reasons why', '13 reasons why soundtrack', 'Selena gomez back to you', 'Back to you lyrics', 'Lyrics back to you', 'Back to you selena gomez', 'Selena gomez back to you lyrics', 'Selena gomez lyrics back to you', 'Back to you lyrics selena gomez', 'Back to you selena gomez lyrics', 'Lyrics selena gomez back to you', 'Lyrics back to you selena gomez', 'Marsmusic']",Selena Gomez - Back to you (Lyrics),GNGbmg_pVlQ,28536150
This Is America,Childish Gambino,10,UCjYO25ZVJT523TD1iYHzcbw,ChildishGambinoVEVO,704836,544818,0,7204664,"['Childish Gambino', 'Rap', 'This Is America', 'Wolf+Rothstein/RCA Records', 'childish gambino vevo', 'childish gambino music', 'hip hop', 'vevo', 'vevo music', 'vevo playlist', 'childishgambinovevo', 'donald glover']",Childish Gambino - This Is America (Official Music Video),VYOjWnS4cMY,459229650
Ratchet Happy Birthday,Drake,22,UC-9_ONMm855MG6g_e7JDfIw,Gang Plug 4,76,396,0,2815,"['The Plug', 'Gang Plug', 'dj jeff duran', 'Full Mixtape', 'New Mixtape']",Drake - Ratchet Happy Birthday (OFFICIAL),aQcIR4CMp2s,282904
I Like Me Better,Lauv,10,UCfLdIEPs1tYj4ieEdJnyNyw,Lauv,23151,20046,0,934929,"['lauv', 'the other', 'single', 'nyc', 'new york', 'pop', 'ari leff', 'i like you better', 'i like me better', 'lauv i like me better', 'i like me better lauv', 'better with you', 'lauv like me better', ""i like me better when i'm with you lyrics"", ""i like it better when i'm with you"", 'i like me', 'i like me better when im with you', ""i'm better when i'm with you"", ""i like me better when i'm with you meme"", 'lany', 'luv', 'luav', 'lauv playlist']",Lauv - I Like Me Better [Official Audio],a7fzkqLozwA,125678564
Get Along,Kenny Chesney,10,UCB1W3WXbDmsEG_hQLxYALgg,Kenny Chesney,1389,4733,0,50765,"['kenny chesney', 'get along', 'official music video', 'country music', 'live performance', 'fans singing', 'kenny chesney official music video', 'get along official music video', 'no shoes nation', 'trip around the sun tour']","Kenny Chesney - ""Get Along"" (Official Music Video)",#NAME?,17152937
Simple,Florida Georgia Line,10,UCOnoQYeFSfH0nsYv0M4gYdg,FlaGeorgiaLineVEVO,3794,10620,0,132361,"['Florida', 'Georgia', 'Line', 'Simple', 'BMLG', 'Records', 'LLC', 'Country']",Florida Georgia Line - Simple (Lyric Version),TuTDc9d_9yI,31436733
